ID,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
p15,"$3,000,000",,,"$4,500,000",,Comprehensive Maritime Domain Awareness,St. Petersburg,,FL,Defense,RDTE,Defense Wide,Combating Terrorism Technology Support,"Young, Bill",R,FL,,,,,,,SRI,,1
p16,"$2,500,000",,,"$3,000,000",,Multi-Jurisdictional Counter-Drug Task Force Training,Largo,,FL,Defense,Drug Interdiction and Counter-Drug Activity,Defense Wide,Counter Narcotics,"Young, Bill",R,FL,,,,,,,St. Peterburg College,,1
p17,,"$600,000","$600,000","$590,000",,Atomic Testing Museum for Operations and Maintenance,Las Vegas,,NV,Energy & Water,Department of Energy,Congressionally Directed Weapons Activities,,,,,,Reid,D,NV,,,,Operation and Maintenance,1
p18,,"$500,000","$500,000","$492,000",,"Rolls-Royce Fuel Cell Systems (US), Inc., Stark State College of Tech., Fuel Cell Prototyping Center, solid oxide fuel cell",Canton,,OH,Energy & Water,Department of Energy,Congressionally Directed Electricity Delivery and Energy Reliability Projects,,,,,,Brown; Voinovich,D; R,OH; OH,,,,,1
p19,,"$500,000","$500,000","$492,000",$0,"Rocky Flats Cold War Museum, To recognize the work that went on at Rocky Flasts and those who contributed to the history",,,CO,Energy & Water,Legacy Management,Congressionally Directed Projects,,,,,,Allard,R,CO,,,,,1
p20,"$200,000",,"$200,000","$197,000",,Green Building Technologies for Lakeview Museum (IL),,,IL,Energy & Water,Department of Energy,Congressionally Directed Science projects,,LaHood,R,IL,,,,,,,,,1
p21,"$500,000",,,"$500,000",,Barracks Row,Washington,,DC,Financial Services,District of Columbia,,,"Lewis, Jerry",R,CA,41,,,,,,,,1
p22,,,,"$150,000",,Citizen's Advice Bureau,,,NY,Homeland Security,U.S. Citizen and Immigration Services,Predisaster Mitigation,,Serrano,D,NY,,,,,,,,,1
p23,,,,"$3,000,000",,"Adjutant General's Office of Emergency Preparedness, for projects in Santee and Manning",,,SC,Homeland Security,Federal Emergency Management Agency,Predisaster Mitigation,,Clyburn,D,SC,,,,,,,,,1
p24,,,,"$50,000",,City of Monticello,,,GA,Homeland Security,Federal Emergency Management Agency,Predisaster Mitigation,,Marshall,D,GA,8,,,,,,,,1
p25,,"$2,673,000","$1,673,000","$1,647,000","$1,000,000",Wood Education and Resource Center,,,WV,Interior,Forest Service,State and Private Forestry,,,,,,Byrd,D,WV,President and Member(s),,,,1
p26,"$225,000",,"$225,000","$221,000",,"Brown Mansion, Coffeyville",Coffeyville,,KS,Interior,National Park Service,Save America's Treasures,,Tiahrt,R,KS,4,,,,,,,,1
p27,,"$11,000,000","$9,089,000","$8,930,215",,"University of Alabama, Tuscaloosa, AL, for construction, renovation, and equipment",Tuscaloosa,,AL,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration,,Bonner,R,AL,,Shelby,R,AL,,,,,1
p28,,"$100,000","$87,000","$85,480",,"United Mine Workers of America, Fairfax, VA, for a fuel-cell coalmine vehicle demonstration project",Fairfax,,VA,Labor-HHS-Education,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,,,Specter,R,PA,,,,,1
p29,,"$2,000,000","$1,462,000","$1,436,459",,Iowa Department of Public Health to continue the Harkin Wellness Grant program,,,IA,Labor-HHS-Education,Department of Health and Human Services,Centers for Disease Control and Prevention,,,,,,Harkin,D,IA,,,,,1
p30,,"$400,000","$316,000","$310,479",,"Palmer College on Chiropractice, Consortial Center for Chiropractic Research in Davenport, Iowa, and the Policy Institute for Integrative Medicine in Philadelphia, PA for a best practices initiative on lower back pain",Davenport; Philadelphia,,IA; PA,Labor-HHS-Education,Department of Health and Human Services,Office of the Secretary,,,,,,Harkin,D,IA,,,,,1
p31,"$350,000","$100,000","$341,000","$335,043",,"Museum of Aviation Foundation, Warner Robins, GA for education programs",Warner Robins,,GA,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,Marshall,D,GA,,Chambliss,R,GA,,,,,1
p32,,"$400,000","$292,000","$286,899",,"Figge Foundation, Davenport, Iowa, for exhibits, education programs, community outreach, and/ or operations",Davenport,,IA,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,,,,,Harkin,D,IA,,,,,1
p33,,"$250,000","$206,000","$202,401",,"Museum of Utah Art & History, Salt Lake City, Utah, to improve technology and exhibit preparation",Salt Lake City,,UT,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,,,,,Bennett,R,UT,,,,,1
p34,,"$500,000",,"$125,000",$0,University of Mississippi Music Archive,University,,MS,Legislative Branch,Library of Congress,Salary and Expenses,,Wicker,R,MS,,Cochran,R,MS,,,,,1
p35,,"$750,000",,"$750,000",$0,Bachelor Quarters Addition,Naval Station Newport,,RI,Military Construction,Military Construction Project Listing,Navy,,,,,,Reed,D,RI,,,,,1
p36,,"$250,000","$187,500","$183,750",,Poplar Bluff Historic Depot Restoration,,,MO,Transportation and Housing & Urban Development,HUD,Neighborhood Initiatives,,,,,,Bond,R,MO,,,,,1
p37,"$1,000,000",,"$1,500,000","$1,470,000",,Pittsfield Downtown Streetscape,,,MA,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Olver,D,MA,1,,,,,,,,1
p38,"$100,000",,"$100,000","$98,000",,Audie Murpy/American Cotton Museum for construction of a memorial and building,Greenville,,TX,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Hall, Ralph",R,TX,,,,,,,,,1
p39,"$66,000,000","$66,000,000","$66,000,000","$65,465,000","$66,000,000",Water Quality Program -- Secondary Treatment of Tijuana Sewage,,,INT,State-Foreign Ops,Department of State,"International Boundary and Water Commission, United States and Mexico; Construction",,,,,,,,,President-Solo & Und.,,,,1
np1,"$99,000",,"$71,000","$71,000",,Illinois Buffer Initiative,,,IL,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,LaHood,R,IL,,,,,,,,,0
np2,,"$250,000","$207,000","$206,000",,Lower Hamakua Ditch Watershed Project in the State of Hawaii,,,HI,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Watershed and Flood Prevention Operations,,Hirono,D,HI,,Akaka; Inouye,D; D,HI; HI,,,,,0
np3,,"$100,000","$72,000","$71,000",,Molokai Agriculture Development and Resource Conservation,,,HI,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,Hirono,D,HI,,Akaka; Inouye,D; D,HI; HI,,,Molokai RC&D,,0
np4,"$71,500",,"$72,000","$71,000",,"Sorghum Ergot Research, College Station, TX",College Station,,TX,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Edwards,D,TX,,,,,,,,,0
np5,,,"$1,883,000","$1,870,000",,"Center for Grape Genetics, Geneva, NY",Geneva,,NY,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,Arcuri; Hinchey; Reynolds; Walsh,D; D; R; R,NY; NY; NY; NY,,Clinton; Schumer,D; D,NY; NY,,,,,0
np6,,"$916,000","$661,000","$656,000",,Alaska Association of Conservation Districts,,,AK,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Stevens,R,AK,,,Alaska Association of Conservation Districts,,0
np7,,"$308,000","$231,000","$229,000",,Rural Systems,,,MS,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,,,,,Cochran,R,MS,,,Jackson State University,,0
np8,,,"$539,000","$535,000",,Big Creek-Hurricane Creek,,,MO,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Watershed and Flood Prevention Operations,,,,,,Bond,R,MO,,,,,0
np9,"$5,600,000","$4,455,000","$4,455,000","$4,424,000",,Rural Community Assistance Program,,,UNK,Ag-Rural Development-FDA,Rural Development Programs,Rural Business-Cooperative Service,,,,,,,,,,Undisclosed,,Disclosed by Kaptur and Olver in House bill,0
np10,,"$250,000","$188,000","$187,000",,Pasture and Forage Research,,,UT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Bennett,R,UT,,,Utah State University,,0
np11,"$2,684,737","$2,684,737","$2,685,000","$2,666,000",,"Biotechnology Research Development Corporation, Peoria, IL",Peoria,,IL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,LaHood,R,IL,,Durbin,D,IL,,,,,0
np12,"$140,000",,"$105,000","$104,000",,"Perennial Wheat, WA",,,WA,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Dicks; Larsen,D; D,WA; WA,,Cantwell; Murray,D; D,WA; WA,,,,,0
np13,"$1,555,357",,"$1,555,000","$1,544,000",,"Greenhouse and Hydroponics Research, Wooster, OH",Wooster,,OH,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Kaptur,D,OH,,Brown,D,OH,,,,,0
np14,"$390,101",,"$390,000","$387,000",,"Biomineral Soil Amendments for Control of Nematode, Beltsville, MD",Beltsville,,MD,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hoyer,D,MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
np15,"$319,000","$300,000","$239,000","$237,000",,"Wine Grape Foundation Block, WA",,,WA,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,"Dicks; Hastings, Doc; Larsen",D; R; D,WA; WA; WA,,Cantwell; Murray,D; D,WA; WA,,,Washington State University,,0
np16,,"$200,000","$150,000","$149,000",,Displacing Imported Petroleum With Renewables,,,FL,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Castor; Stearns,D; R,FL; FL,,"Martinez; Nelson, Bill",R; D,FL; FL,,,University of Florida,,0
np17,"$600,000",,"$433,000","$430,000",,Illinois River Basin,,,IL,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,LaHood,R,IL,,,,,,,,,0
np18,"$990,000",,"$715,000","$710,000",,Maumee Watershed Hydrological Study and Flood Mitigation,,,OH,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,Kaptur,D,OH,,,,,,,,,0
np19,"$545,000",,"$409,000","$406,000",,"Food Systems Research Group, WI",,,WI,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Baldwin,D,WI,,,,,,,,,0
np20,"$251,020",,"$251,000","$249,000",,"Regional Molecular Genotyping, Pullman, WA",Pullman,,WA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Hastings, Doc; McMorris Rodgers; Reichert",R; R; R,WA; WA; WA,,Cantwell; Murray,D; D,WA; WA,,,,,0
np21,"$1,418,000","$1,000,000","$1,064,000","$1,057,000",,"Animal Science Food Safety Consortium, AR, IA, KS",,,AR; IA; KS,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Boozman; Latham; Ross,R; R; D,AR; IA; AR,,Grassley; Harkin; Lincoln; Pryor; Roberts,R; D; D; D; R,IA; IA; AR; AR; KS,,,"University of Arkansas, Iowa State University, Kansas State University",,0
,,"$300,000",,"$291,000",,"Department of Public Safety, Polk County, IA, to intercept imported meth",,Polk,IA,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Harkin,D,IA,,,,,0
,"$300,000",,,"$282,000",,"Orangeburg, SC Department of Public Safety Gang and Meth Lab Tracking",Orangeburg,,SC,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Clyburn,D,SC,,,,,,,,,0
,"$75,000",,,"$70,500",,"MUR-- Uniting Through Resolution, Los Angeles, CA",Los Angeles,,CA,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Becerra,D,CA,,,,,,,,,0
,"$300,000",,,"$399,500",,"Suffolk County, NY Internet Crimes Against Children Prevention Program",,Suffolk,NY,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,"Bishop, Timothy",D,NY,,,,,,,,,0
,"$250,000",,,"$235,000",,Delaware River Enhanced Flood Warning System,,,UNK,"Commerce, Justice & Science",Department of Commerce,NOAA; NWS,,Dent; Holt,R; D,NJ; PA,,Lautenberg; Menendez,D; D,NJ; NJ,,,,,0
,,"$250,000",,"$223,250",,"Kids Peace, Inc,, New Haven, CT, for a children's mental health crisis program",New Haven,,CT,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Dodd,D,CT,,,,,0
,"$1,000,000",,,"$940,000",,Bronx River Restoration,New York,,NY,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,Serrano,D,NY,,,,,,,,,0
,,"$2,000,000",,"$1,410,000",,"State of Alaska, Juneau, AK, for statewide methamphetamine enforcement",Juneau,,AK,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Stevens,R,AK,,,,,0
,"$50,000",,,"$47,000",,"University of Illinois at Chicago, Project on Violence Prevention - Cease Fire",Chicago,,IL,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,"Davis, Danny",D,IL,,Durbin,D,IL,,,,,0
,"$300,000",,,"$1,222,000",,Butler County Community College,,Butler,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,English,R,PA,,,,,,,,,0
,"$300,000",,,"$282,000",,"Adams County, IL, Sheriff's Department",,Alleghany,IL,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,LaHood,R,IL,,,,,,,,,0
,"$50,000",,,"$47,000",,"Kansas City, MO Metropolitan Organization to Counter Sexual Assault","Kansas City, MO",,MO,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Cleaver,D,MO,,,,,,,,,0
,"$200,000",,,"$188,000",,City Year of Rhode Island,,,RI,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Kennedy,D,RI,,,,,,,,,0
,"$50,000",,,"$47,000",,"Solano County, CA Probation Enhanced Supervision of High Risk Domestic Violence Offenders",,Solano,CA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Tauscher,D,CA,,,,,,,,,0
,"$100,000",,,"$164,500",,"Solar One Programs for At-Risk Youth, New York, NY",New York City,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Maloney,D,NY,14,,,,,,,,0
,"$500,000",,,"$681,500",,"San Diego, CA Police Department",San Diego,,CA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,"Bilbray; Davis, Susan",R; D,CA; CA,,,,,,,,,0
,"$375,000",,,"$352,500",,University of Colorado at Denver - Audio and Video Forensics Project,Denver,,CO,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Tancredo,R,CO,,Allard; Salazar,R; D,CO; CO,,,,,0
,,"$200,000",,"$200,000",,"Human Resources Center of Edgar and Clark Counties, Paris, IL, to combating substance abuse among high-risk youth",Paris,,IL,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Durbin,D,IL,,,,,0
,"$375,000",,,"$352,500",,"Macomb County, MI",,Macomb,MI,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,"Miller, Candice",R,MI,,Levin; Stabenow,D; D,MI; MI,,,,,0
,"$100,000",,,"$352,500",,"Cary, NC Police Department Technology Upgrades",Cary,,NC,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,"Miller, Brad; Price, David",D; D,NC; NC,,Dole,R,NC,,,,,0
,"$375,000",,,"$352,500",,"Riverside County, CA Sheriff's Department",,Riverside,CA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Issa,R,CA,,,,,,,,,0
,"$42,000",,,"$39,480",,"Community Connections, Bluefield, WV",Bluefield,,WV,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Rahall,D,WV,,,,,,,,,0
,,"$500,000",,"$400,000",,"Lake Champlain Emerging Threats, research targeting understanding and mitigating invasive species, University of Vermont",Burlington,,VT,"Commerce, Justice & Science",Department of Commerce,NOAA; OAR,,,,,,Leahy,D,VT,,,,,
,,"$250,000",,"$223,250",,"Dakota County, Hastings, MN, for upgrades to Dakota County Criminal Justice Information",Hastings,Dakota,MN,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,,,,,Coleman; Klobuchar,R; D,MN; MN,,,,,
,"$350,000",,,"$329,000",,"King County, WA Sheriff's Office for School Resource Officers",,King,WA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Reichert,R,WA,,Cantwell,D,CA,,,,,
,"$693,000",,,"$651,420",,Oakland County Sheriff's Department,,Oakland,MI,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Knollenberg; Levin,R; D,MI; MI,,Levin; Stabenow,D; D,MI; MI,,,,,
,"$50,000",,,"$117,500",,Building Life Skills for Youth,Independence,,MO,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Cleaver,D,MO,,,,,,,,,
,"$30,000",,,"$28,200",,"Altoona, AL Police Department",Altoona,,AL,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Aderholt,R,AL,4,,,,,,,,
,"$100,000",,,"$94,000",,"Safe Haven Program, Irvington, NJ",Irvington,,NJ,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Payne,D,NJ,,Lautenberg; Menendez,D; D,NJ; NJ,,,,,
,"$350,000",,,"$329,000",,"Windham, CT Dispatch Center Equipment",Windham,,CT,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Courtney,D,CT,2,,,,,,,,
,"$100,000",,,"$94,000",,Bergen County Community College Center for Suburban Justice,Paramus,Bergen,NJ,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Rothman,D,NJ,,,,,,,,,
,"$25,000",,,"$23,500",,"Nelson Jordan Center Program for At-Risk Youth, Wheeling, WV",Wheeling,,WV,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Mollohan,D,WV,,,,,,,,,
,"$150,000",,,"$141,000",,"Des Moines, IA Emergency Communications",Des Moines,,IA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Boswell,D,IA,,,,,,,,,
,"$500,000",,,"$470,000",,"Waynesburg College, PA Electronic Crime Prevention and Investigation",,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Murtha,D,PA,,,,,,,,,
,,"$2,000,000",,"$1,600,000",,F/A-18 Tactical Operational Flight Trainers Fidelity Upgrade,,,UNK,Defense,RDTE,Navy,F/A-18 Squadrons,,,,,Cornyn,R,TX,,,,,
,"$1,000,000",,,"$1,000,000",,Joint Logistics Education Training and Experimentation Testbed/Transformation (JLETT) AUSDATL,Long Beach,,CA,Defense,Operation and Maintenance,Defense Wide,Base Operations Support,Kingston; Marshall,R; D,GA; GA,,,,,,,California State University Long Beach Foundation,,
,,"$2,000,000",,"$1,600,000",,Sawfly Combat Ballistic Protection Eyewear,,,UNK,Defense,Operation and Maintenance,Army,Force Readiness Operations Support,,,,,Leahy,D,VT,,,,,
,"$4,000,000",,,"$3,200,000",,Ammunition Production Base Support - Scranton AAP - FY2006,Scranton,,PA,Defense,Procurement of Ammunition,Army,Provision of Industrial Facilities,Carney; Kanjorski,D; D,PA; PA,,Casey; Specter,D; R,PA; PA,,,General Dynamics/Chamberlain,General Dynamics bought Chamberlain,
,"$2,000,000",,,"$1,600,000",,High Temperature Aerogel Materials for Global Strike Vehicles,Northborough,,MA,Defense,RDTE,Air Force,Materials,McGovern; Olver,D; D,MA; MA,,Kerry,D,MA,,,Aspen Aerogels,,
,,,,"$1,000,000",,Riverside General Hospital Program for the Treatment of Post Traumatic Stress Disorder,,,UNK,Defense,Defense Health Program,,Consolidated Health Care,Jackson Lee,D,TX,,,,,,,,,
,"$2,000,000",,,"$1,600,000",,High Specific Energy Rechargeable Battery,Tucson,,AZ,Defense,RDTE,Defense Wide,Microelectronic Technology Development and Support,Giffords,D,AZ,,,,,,,SION Power,,
,"$2,500,000",,,"$2,500,000",,"FC3, FCS Reconnaissance (UAV) Platforms",Muskegon,,MI,Defense,RDTE,Army,FCS Reconnaissance (UAV),Hoekstra,R,MI,,Levin,D,MI,,,L3 Combat Propulsion Systems,,
,"$2,250,000",,,"$1,800,000",,Cartledge Infuser,Macon,,GA,Defense,Other Procurement,Army,Combat Support Medical,Gingrey; Westmoreland,R; R,GA; GA,,Chambliss,R,GA,,,SMISSION-Cartledge Biomedical,,
,"$4,000,000","$3,000,000",,"$3,200,000",,3-D Advanced Battery Technology,Peoria,,IL,Defense,RDTE,Army,Combat Vehicle and Automotive Advanced Technology,LaHood,R,IL,,Durbin,D,IL,,,Firefly Energy,,
,"$2,000,000","$1,000,000",,"$1,600,000",,Center for Advanced Vehicle Design and Simulations,Kalamazoo,,MI,Defense,RDTE,Army,Combat Vehicle and Automotive Technology,Upton,R,MI,,Levin; Stabenow,D; D,MI; MI,,,Center for Advanced Vehicle Design and Simulations,,
,,"$2,000,000",,"$1,600,000",,Ground Forces Readiness Enabler for Advanced Tactical Vehicles (GREAT-V),,,UNK,Defense,RDTE,Army,Combat Vehicle and Automotive Advanced Technology,,,,,Hutchison,R,TX,,,,,
,,"$1,000,000",,"$1,000,000",,Information Sharing for ISRTE,,,UNK,Defense,RDTE,Navy,Power Projection Advanced Technology,,,,,Akaka,D,HI,,,,,
,"$265,000",,,"$265,000",,"Mobility Equipment and Training Supplies, 139th Airlift Wing, St. Joseph, Missouri",St. Joseph,,MO,Defense,Operation and Maintenance,Army National Guard,Operating Forces,Graves,R,MO,,,,,,,139th Airlift Wing,,
,,"$4,500,000",,"$3,600,000",,Special Operations Craft-Riverine,,,UNK,Defense,Procurement,Defense Wide,SOF Combatant Craft Systems,,,,,Lott,R,MS,,,,,
,"$2,000,000",,,"$1,600,000",,Rapid Up-Armor Synthesis and Crashworthiness Design for Improved Soldier Survivability,Notre Dame,,IN,Defense,RDTE,Army,Combat Vehicle and Automotive Technology,Donnelly; Visclosky,D; D,IN,,,,,,,University of Notre Dame,,
,,"$1,000,000",,"$800,000",,East Coast Asymmetric Warfare Initiative,,,UNK,Defense,RDTE,Defense Wide,Joint Experimentation,,,,,Collins; Snowe; Warner; Webb,R; R; R; D,ME; ME; VA; VA,,,,,
,"$2,500,000",,,"$2,000,000",,Environmental Bioterrorism Detection Program,St Petersburg,,FL,Defense,RDTE,Defense Wide,Chemical and Biological Defense Program - Advanced Development,"Young, Bill",R,FL,,,,,,,SAIC,,
,,"$3,500,000",,"$3,000,000",,Lightweight Ammunition and Armor Initiative,,,UNK,Defense,Defense Production Act,,Defense Production Act Purchases,,,,,Cochran,R,MS,,,,,
,"$1,000,000",,,"$1,000,000",,C-130 Aircraft Health Monitoring System,Wichita,,KS,Defense,Aircraft Procurement,Navy,C-130 Series,Tiahrt,R,KS,4,,,,,,Teledyne Controls,,
,"$1,000,000",,,"$800,000",,Lens XX Hypervelocity Ground Testing,Buffalo,,NY,Defense,RDTE,Army,Missile Technology,Higgins,D,NY,,,,,,,CUBRC,,
,"$1,000,000",,,"$1,000,000",,Diamond MEMS Sensors for Real-Time Sensing of Weaponized Pathogens,Romeoville,,IL,Defense,RDTE,Defense Wide,Chemical and Biological Defense Program,Biggert,R,IL,,,,,,,Advanced Diamond Technologies Inc.,,
,"$3,000,000",,,"$2,400,000",,Combat Operations Center,Lemont Furnace,,PA,Defense,Procurement,Marine Corps,Unit Operations Center,Murtha,D,PA,,,,,,,"Coherent Systems, International",,
,"$4,000,000",,,"$3,200,000",,Unattended SIGINT Node,Redlands,,CA,Defense,RDTE,Defense Wide,Special Operations Tactical Systems Development,"Lewis, Jerry",R,CA,41,,,,,,Trident,,
,"$1,000,000",,,"$1,000,000",,Warrior Wellness Program,Tampa,,FL,Defense,Defense Health Program,,Education and Training,"Young, Bill",R,FL,,,,,,,"Enable America, Inc.",,
,,"$2,000,000",,"$1,600,000",,Fuel Cell Cost Reduction and Durability Improvements,,,UNK,Defense,RDTE,Army,Combat Vehicle and Automotive Advanced Technology,Levin,D,MI,12,Levin; Stabenow,D; D,MI; MI,,,,,
,"$2,000,000",,,"$1,600,000",,High Power Fiber Laser (HPFL)-Based Pod,Bloomfield,,IN,Defense,RDTE,Navy,Tactical Air Directional Infared Countermeasures,Ellsworth,D,IN,,Lugar,R,IN,,,SAIC Inc.,,
,,"$20,000,000",,"$20,000,000",,Expeditionary Craft,,,UNK,Defense,RDTE,Navy,Power Projection Advanced Technology,,,,,Murkowski; Stevens,R; R,AK; AK,,,,,
