,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
27,100000,,97000,95305,,"Oklahoma Panhandle State University, Goodwell, OK for purchase of equipment",Goodwell,,OK,Labor-HHS-Education,Department of Education,Fund for the Improvement of Postsecondary Education,,Lucas,R,OK,,,,,,,,,0
28,,100000,,47000,,"Oquirrh Recreation and Parks District, Kearns, UT, for after-school activities",Kearns,,UT,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Bennett; Hatch,R; R,UT; UT,,,,,0
29,,2252000,2117000,2117000,,Perry Lake,,,KS,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
30,30000,,,28200,,"Powell County, KY Sheriff's Mobile Data Terminals",,Powell,KY,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Chandler,D,KY,,,,,,,,,0
31,,200000,,178600,,"Ruth Ellis Center, Highland Park, MI, for an outreach program",Highland Park,,MI,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Conyers; Kilpatrick,D; D,MI; MI,,Levin,D,MI,,,,,0
32,,200000,,188000,,"Spectrum Youth and Family Services, Burlington, VT, to expand its services to at-risk youth",Burlington,,VT,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Leahy; Sanders,D; I,VT; VT,,,,,0
33,5163000,5163000,5163000,5080000,5163000,Boise Area Projects,,,ID,Energy & Water,Bureau of Reclamation,Water and Related Resources,,,,,,,,,President-Solo,,,,0
34,250000,,250000,245000,,City of Jackson for construction of a building in conjunction with a 240-acre industrial Development Park,Jackson,,AL,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Bonner,R,AL,,,,,,,,,0
35,250000,,243000,238755,,"Connecticut Technical High School System, Middletown, CT for equipment for the Manufacturing Technologies Department of Platt Technical High School in Milford, CT",Middletown,,CT,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,DeLauro,D,CT,,,,,,,,,0
36,200000,,487000,478492,,"DeSales University, Center Valley, PA for the Digital Campus Initiative, including purchase of equipment",Center Valley,,PA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Postsecondary Education,,Dent,R,PA,,,,,,,,,0
37,,2000000,,1600000,,F/A-18 Tactical Operational Flight Trainers Fidelity Upgrade,,,UNK,Defense,RDTE,Navy,F/A-18 Squadrons,,,,,Cornyn,R,TX,,,,,0
38,809000,817000,613000,609000,,"Infectious Disease Research, CO",,,CO,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,"Musgrave; Udall, Mark",R; D,CO; CO,,Allard; Salazar,R; D,CO; CO,,,,,0
39,911000,,911000,895085,,Native American and Native Hawaiian museum services,,,UNK,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,,,,,,,,,Undisclosed,,,0
40,2100000,,999000,983000,0,"Ohio River Greenway Access, IN",,,IN,Energy & Water,Corps of Engineers,"Construction, General",,Hill,D,IN,,Bayh; Lugar,D; R,IN; IN,,,,,0
41,,100000,97000,95305,,"Oklahoma State University, Center for Health Sciences, Tulsa, OK, for mobile health clinics",Tulsa,,OK,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Sullivan,R,OK,,Inhofe,R,OK,,,,,0
42,231000,,,282000,,Seedco Financial Services Alabama Minority and Women-owned Business Enterprises (M/WBE) Investment Initiative for technical assistance and training,Irondale,,AL,Financial Services,Small Business Administration,,,"Davis, Artur",D,AL,7,,,,,,,,0
43,,200000,200000,196000,,"TechTown, for renovations for historic structures for economic development",Detroit,,MI,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Kilpatrick,D,MI,,Levin; Stabenow,D; D,MI; MI,,,,,0
44,150000,,150000,147000,,Western Mining and Railroad Museum for construction and renovation of an addition to the museum to improve accessibility,Helper,,UT,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Matheson,D,UT,,,,,,,,,0
45,,300000,245000,240720,,"Children's Hospitals and Clinics of Minnesota, Minneapolis, MN, to provide pediatric palliative care education and consultation services to clinicians and providers",Minneapolis,,MN,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,,,,,Coleman; Klobuchar,R; D,MN; MN,,,,,0
46,160000,,,150400,,"City of Rockford, AL",Rockford,,AL,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,"Rogers, Mike (AL)",R,AL,,,,,,,,,0
47,436000,436000,436000,429000,436000,Deschutes Project,,,OR,Energy & Water,Bureau of Reclamation,Water and Related Resources,,,,,,,,,President-Solo,,,,0
48,500000,,,500000,,Develop & Test Environmentally Safe Biocides for Bio-Defense,Fort Myers,,FL,Defense,RDTE,Defense Wide,Submarine Communication Equipment,Meek,D,FL,,,,,,,Florida Gulf Coast University,,0
49,60000,,,56400,,"North Judson, IN Police Department Mobile Data Recorders",North Judson,,IN,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Donnelly,D,IN,,,,,,,,,0
50,100000,,97000,95305,,"Northern Westchester Hospital, Mount Kisco, NY for facilities and equipment",Mount Kisco,,NY,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,"Hall, John",D,NY,,,,,,,,,0
51,,1425000,1000000,984000,,Ohio River Islands National Wildlife Refuge - river island erosion control,,,WV,Interior,Fish and Wildlife Service,Construction,,,,,,Byrd,D,WV,,,,,0
52,,175000,175000,172000,,Old Cahawba Center,Cahawba,,AL,Interior,National Park Service,Save America's Treasures,,,,,,Shelby,R,AL,,,,,0
53,231000,500000,,500000,,Portland State University for a science research and teaching center ,Portland,,OR,Financial Services,Small Business Administration,Salaries and Expenses,,Walden; Wu,R; D,OR; OR,2; 1,Wyden,D,OR,,,,,0
54,6000000,3000000,4500000,4410000,0,South Sacramento Corridor Phase 2 Project,,,CA,Transportation and Housing & Urban Development,Transportation,FTA; New Starts,,Lungren; Matsui,R; D,CA; CA,,Boxer; Feinstein,D; D,CA; CA,,,,,0
55,,1000000,,1000000,,Technical Education and Training Center,,Sedgwick,KS,Financial Services,Small Business Administration,Salaries and Expenses,,,,,,Brownback,R,KS,,,,,0
56,,22220000,,22220000,22220000,1st Marine Logistics Group and Battalion Operations Center (Grow the Force), Camp Pendleton,,CA,Military Construction,Military Construction Project Listing,Navy,,,,,,,,,President-Solo,,,,0
57,,16115000,15150000,15150000,,Anchorage Harbor,,,AK,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,Stevens,R,AK,,O & M-Disclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
58,,1000000,750000,735000,,Forest Park Circulator/I-64 Closure Alleviation,,,MO,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,,,,,Bond,R,MO,,,,,0
59,2000000,,,1600000,,"Mobile Optical Wireless Networking for Intelligence, Surveillance, and Reconnaissance",Marriotsville,,MD,Defense,RDTE,Defense Wide,Special Applications for Contingencies,Cummings,D,MD,,Mikulski,D,MD,,,Optemax Inc.,,0
60,,275000,,275000,,Northern Manhattan Coalition for Economic Development for business outreach center,New York,,NY,Financial Services,Small Business Administration,Salaries and Expenses,,,,,,Clinton; Schumer,D; D,NY; NY,,,,,0
61,,4330000,4071000,4071000,,Ohio River Open Channel Work,,,IL; IN; KY; OH,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
62,,250000,188000,187000,,"Oil Resources from Desert Plants, NM",,,NM,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Bingaman; Domenici,D; R,NM; NM,,,New Mexico State University,,0
63,200000,,,305500,,"Pueblo County, CO Sheriff's Office Technology",,Pueblo,CO,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Salazar,D,CO,,,,,,,,,0
64,,11600000,,11600000,11160000,Unit Operation Facilities (Grow the Force),Fort Wainwright,,AK,Military Construction,Military Construction Project Listing,Army,,,,,,,,,President-Solo,,,,0
65,,681000,640000,640000,,West Thompson Lake,,,CT,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
66,2500000,,2500000,2500000,,Wisconsin West Rail Transit Authority,,Barron,WI,Transportation and Housing & Urban Development,Transportation,FRA; Rail Line Relocation and Improvement Program,,Obey,D,WI,7,Kohl,D,WI,,,,,0
67,,18160000,,18160000,18160000,1st Marine Logistics Group Operations Center (Grow the Force),Camp Pendleton,,CA,Military Construction,Military Construction Project Listing,Navy,,,,,,,,,President-Solo,,,,0
68,,400000,292000,286899,,"Atchison Hospital Association, Atchison, KS, for renovation and equipment",Atchinson,,KS,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration,,,,,,Brownback,R,KS,,,,,0
69,100000,,97000,95305,,"Bushnell Center for the Performing Arts, Hartford, CT for arts education programs",Hartford,,CT,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Larson,D,CT,,Dodd; Lieberman,D; I,CT; CT,,,,,0
70,Intel (No Numbers),,,3200000,,GeoSAR System Enhancements,Frederick ,,MD,Defense,Intel,,,"Bartlett; Lewis, Jerry",R; R,MD; CA,,,,,,,EarthData International Inc.,,0
71,,9170000,,9170000,9170000,Marine Special Operations Command Community Support Facilities,Camp Lejeune,,NC,Military Construction,Military Construction Project Listing,Navy,,,,,,Burr; Dole,R; R,NC; NC,President and Member(s),,,,0
72,300000,,,376000,,"Northern Lake County, IN Automated Fingerprint Identification System (AFIS)",,Lake,IN,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Visclosky,D,IN,1,,,,,,,,0
73,150000,,146000,143449,,"Pennsylvania State Police Historical, Educational and Memorial Museum, Hershey, PA for exhibits and educational materials",Hershey,,PA,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,Holden,D,PA,,,,,,,,,0
74,,9400000,,9400000,9400000,Readiness Center (SBCT),Holidaysburg,,PA,Military Construction,Military Construction Project Listing,Army National Guard,,,,,,,,,President-Solo,,,,0
75,,1000000,700000,686000,,"Replacement Buses, Centre Area Transportation Authority (CATA)",,,PA,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,Doyle,D,PA,,Casey; Specter,D; R,PA; PA,,,,,0
76,200000,,,282000,,"Suffolk County, NY District Attorney's Office, Senior Abuse Unit",,Suffolk,NY,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Israel,D,NY,,,,,,,,,0
77,75000,,73000,71725,,"White-Williams Scholars, Philadelphia, PA for a college preparation initiative, which may include student scholarships",Philadelphia,,PA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Fattah,D,PA,,,,,,,,,0
78,1000000,,,940000,,CA Gang reduction Program,Los Angeles,,CA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Schiff,D,CA,,,,,,,,,0
79,50000,,50000,49000,,"Camp Wood YMCA, for construction of alternative energy structures for facilities",Elmdale,,KS,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,"Moran, Jerry",R,KS,,,,,,,,,0
80,2000000,,,1600000,,Direct Methanol Fuel Cell - Battery Recharger Program,Crown Point,,IN,Defense,RDTE,Army,Defense Research Sciences,Visclosky,D,IN,1,,,,,,NuVant Systems Inc. ,,0
81,375000,,,493500,,"Leominster, MA Police Department Law Enforcement Information and Analysis Sharing Network",Leominster,,MA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Olver,D,MA,1,,,,,,,,0
82,6000000,,6000000,5880000,,MBTA Fitchburg to Boston Rail Corridor Project Development and Construction,,,MA,Transportation and Housing & Urban Development,Transportation,FTA; Small Starts,,Olver,D,MA,1,,,,,,,,0
83,200000,,,399500,,Methodist University Methamphetamine Educational Training Project,Fayetteville,,NC,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Etheridge; McIntyre,D; D,NC; NC,,Burr; Dole,R; R,NC; NC,,,,,0
84,700000,,,940000,,Northern NV Anti-Meth Initiative,,,NV,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,Heller,R,NV,,,,,,,,,0
85,,2541000,2389000,2389000,,Ohio River Open Channel Work,,,WV,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
86,,3000000,3000000,2952000,,Technologies Ventures Corporation for technology transfer activities,,,NM,Energy & Water,Department of Energy,Congressionally Directed Nuclear Energy Projects,,,,,,Domenici,R,NM,,,,,0
87,,100000,100000,98000,,The North Central rural water consortium for system expansion,Esmond,,ND,Interior,Environmental Protection Agency,State and Tribal Assistance Grants,,,,,,Conrad; Dorgan,D; D,ND; ND,,,,,0
88,,160000,80000,79000,,Wyoming Soil Survey Project,,,WY,Interior,Bureau of Land Management,Management of Lands and Resources,,Cubin,R,WY,,Enzi,R,WY,,,,,0
89,2673000,2673000,2673000,2631000,2673000,Brown Tree Snake,,,HI,Interior,Departmental Offices,Assistance to Territories,,,,,,,,,President-Solo,,,,0
90,1500000,,,1200000,,Cable Warning and Obstacle Avoidance System,San Diego ,,CA,Defense,RDTE,Army,Night Vision Advanced Technology,Hunter,R,CA,,,,,,,Trex Enterprises Corp,,0
91,,16500000,,16500000,16500000,Distributed Common Ground System Intelligence Squadron Operations Facility,Hickam AFB,,HI,Military Construction,Military Construction Project Listing,Air Force,,,,,,Akaka; Inouye,D; D,HI; HI,President and Member(s),,,,0
92,,5000000,,5000000,5000000,Entrance Gate Security Enhancements ,Fort Belvoir,,VA,Military Construction,Military Construction Project Listing,Defense-Wide,,"Davis, Tom; Moran, James",R; D,VA; VA,,Warner; Webb,R; D,VA; VA,President and Member(s),,,,0
93,,300000,300000,295000,,"Lower Cape Fear Water and Sewer Authority, Leland, for Water and Sewer Improvement",Leland,,NC,Interior,Environmental Protection Agency,State and Tribal Assistance Grants,,McIntyre,D,NC,,Burr,R,NC,,,,,0
94,,10600000,,10600000,10600000,Metal Parts Addition/Alteration,Rock Island Arsenal,,IL,Military Construction,BRAC Projects 2005,Army,,,,,,,,,President-Solo & Und.,,,Commission recommendation; 151,0
95,,1000000,670000,656600,,Pedestrian Plaza improvements at the Connecticut Science Center,Hartford,,CT,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,,,,,Dodd; Lieberman,D; I,CT; CT,,,,,0
96,500000,,500000,490000,,Red Gate Road Bridge,St. Charles,,IL,Transportation and Housing & Urban Development,Transportation,FHWA; Transportation and Community and System Preservation,,Hastert,R,IL,,,,,,,,,0
97,250000,,,235000,,"Service Over Self, Georgetown, SC",Georgetown,,SC,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Clyburn,D,SC,,,,,,,,,0
98,240000,,240000,236000,0,Southeastern Pennsylvania; Borough Of Hatfield,,,PA,Energy & Water,Corps of Engineers,"Construction, General",,Schwartz,D,PA,,,,,,,,"Subset of $790,000 provided for Southeastern Pennsylvania",0
99,,182000,171000,171000,,Stillaguamish River,,,WA,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
100,750000,750000,702000,691000,750000,Augusta,,,GA,Energy & Water,Corps of Engineers,General Investigations,,Barrow,D,GA,,,,,President and Member(s),,,,0
101,81000,,,169000,,Bronx Council on the Arts form marketing of local business arts initiatives,Bronx,,NY,Financial Services,Small Business Administration,,,Serrano,D,NY,16,,,,,,,,0
102,,1500000,0,0,,"Cal Ripken, Sr, Foundation, Baltimore, MD, Partner with local youth services to provide training, sports equipment and sub-grant money to youth organizations",Baltimore,,MD,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Cardin; Mikulski; Shelby,D; D; R,MD; MD; AL,,,,,0
103,878046,,878000,872000,,"Catfish Genome, Auburn, AL",Auburn,,AL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Davis, Artur; Rogers, Mike (AL)",D; R,AL; AL,,Shelby,R,AL,,,,,0
104,,185000,151000,148362,,"Disability Rights Wisconsin, Madison, Wl, for nursing home support services",Madison,,WI,Labor-HHS-Education,Department of Health and Human Services,Administration on Aging,,,,,,Kohl,D,WI,,,,,0
105,,200000,,178600,,"Heartland Family Service, Omaha, NE, to provide services to women and children in methamphetamine abuse cases",Omaha,,NE,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,"Nelson, Ben",D,NE,,,,,0
106,200000,,195000,191593,,"National Council on Crime and Delinquency, Oakland, CA for a school-based model on violence prevention",Oakland,,CA,Labor-HHS-Education,Department of Education,Fund for the Improvement of Education,,Lee,D,CA,,,,,,,,,0
107,,212000,199000,199000,,Pearl River,,,LA; MS,Energy & Water,Corps of Engineers,Operation & Maintenance,,,,,,,,,,O & M-Undisclosed,,"Senate describes O & M earmarks as Presidential earmarks, but they were not in the  2008 budget",0
108,3000000,3000000,,3000000,,Plasma Sterilizer,Minneapolis,,MN,Defense,RDTE,Army,Medical Materiel/Medical Biological Defense Equipment,Ellison; McCollum,D; D,MN,,Coleman; Klobuchar,R; D,MN; MN,,,Phygen Inc.,,0
109,65490,,65000,65000,,"Potato Diseases, Beltsville, MD",Beltsville,,MD,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Hoyer,D,MD,,Cardin; Mikulski,D; D,MD; MD,,,,,0
110,,500000,350000,343000,,"US 30, McCammon to Topaz Bridge",,,ID,Transportation and Housing & Urban Development,Transportation,FHWA; Transportation and Community and System Preservation,,,,,,Crapo,R,ID,,,,,0
111,,8150000,,8150000,8150000,1st Marine Logistics Group Armory (Grow the Force),Camp Pendleton,,CA,Military Construction,Military Construction Project Listing,Navy,,,,,,,,,President-Solo,,,,0
112,231000,,,282000,,Brooklyn College Entrepreneurial Center,Brooklyn,,NY,Financial Services,Small Business Administration,,,Towns,D,NY,10,Clinton; Schumer,D; D,NY; NY,,,,,0
113,375000,,,352500,,"Calaveras County, CA",,Calaveras,CA,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Lungren,R,CA,,,,,,,,,0
114,250000,,341000,335043,,"Coffeyville Regional Medical Center, Coffeyville, KS for facilities and equipment",Coffeyville,,KS,Labor-HHS-Education,Department of Health and Human Services,Health Resources and Services Administration ,,Tiahrt,R,KS,4,Roberts,R,KS,,,,,0
115,,300000,,291000,,"Department of Public Safety, Polk County, IA, to intercept imported meth",,Polk,IA,"Commerce, Justice & Science",Department of Justice,COPS; Meth,,,,,,Harkin,D,IA,,,,,0
116,250000,100000,243000,238755,,"Discovery Center of Idaho, Boise, ID for a science center",Boise,,ID,Labor-HHS-Education,Related Agencies,Institute of Museum and Library Services,,Simpson,R,ID,,Crapo,R,ID,,,,,0
117,500000,,500000,490000,,"Galbraith Road Interchange (exit), northbound I-75",,,OH,Transportation and Housing & Urban Development,Transportation,FHWA; Interstate Maintenance Discretionary,,Chabot,R,OH,,,,,,,,,0
118,500000,,750000,735000,,Massachusetts Avenue Design and Reconstruction,Arlington,,MA,Transportation and Housing & Urban Development,Transportation,FHWA; Surface Transportation Priorities,,Markey,D,MA,7,,,,,,,,0
119,300000,,300000,294000,,Morehouse University School of Medicine for land acquisition and construction of the medical school campus,Atlanta,,GA,Transportation and Housing & Urban Development,HUD,Economic Development Initiatives,,Barrow,D,GA,,,,,,,,,0
120,1500000,,,1500000,,Peace Through Health Care Initiative,Norfolk ,,VA,Defense,Defense Health Program,,Education and Training,Franks,R,AZ,,,,,,,Operation Smile Inc.,,0
121,1500000,,1500000,1476000,,Solar Consortium of New York photovoltaic research and development center (NY),,,NY,Energy & Water,Department of Energy,Congressionally Directed Energy Efficiency and Renewable Energy Projects,,Hinchey,D,NY,,,,,,,,,0
122,,6000000,4020000,3939600,,1st District Bus Replacement and Facilities,,,MI,Transportation and Housing & Urban Development,Transportation,FTA; Buses and Bus Facilities,,Stupak,D,MI,,Levin; Stabenow,D; D,MI; MI,,,,,0
123,,,400000,394000,0,Ada,,,MN,Energy & Water,Corps of Engineers,Continuing Authorities Programs; Flood Control Projects (Section 205),,,,,,Coleman,R,MN,,,,"$36,698,000 out of $43,000,000 allocated for this program was earmarked to specific projects; projects with unspecified funding levels are second priority for remaining funds. The Senate included this project with an unspecified level of funding in its bill.",0
124,1000000,,,1000000,,Advanced Materials Processing for Ultra-Efficient Power Systems,Bingham Canyon; Wichita,Wichita; Bingham Canyon,KS; UT,Defense,RDTE,Army,End Item Industrial Preparedness Activities,"Bishop, Rob; Tiahrt",R; R,UT; KS,,Bennett; Hatch; Salazar,R; R; D,UT; UT; CO,,,Kennecott Utah Copper Corporation; Electromech,,0
125,3000000,,,2400000,,Cyber Threat Analytics,Redlands,,CA,Defense,RDTE,Army,Defense Research Sciences,"Lewis, Jerry",R,CA,41,,,,,,SRI International ,,0
126,,,,23284000,0,"Donna/Rio Bravo International Bridge, Land Point of Entry",,,TX,Financial Services,General Services Administration,,,Hinojosa,D,TX,15,,,,,,,,0
127,400000,,400000,392000,,I-93 P&D Construction,"Andover, Tewksbury, Wilmington",,MA,Transportation and Housing & Urban Development,Transportation,FHWA; Interstate Maintenance Discretionary,,Meehan,D,MA,,,,,,,,,0
