ID,House Request,Senate Request,Pre-reduction Amt. (Omni),Final Amount,Budget Request,Description,City/Location,County,State,Bill,Bill Section,Bill Subsection,Project Heading (Defense Bill Only),House Requesting Member(s),House Party,House State,Dist.,Senate Requesting Member(s),Senate Party,Senate State,Presidential Earmarks,Undisclosed,Intended Recipient or Location,Notes,is_pork
1000,,"$2,500,000","$1,875,000","$1,862,000",,"Development of Specialty Markets, WI",,,WI,Ag-Rural Development-FDA,Agriculture,Agricultural Marketing Service,,,,,,Kohl,D,WI,,,"Wisconsin Department of Agriculture, Trade and Consumer Protection",,1
2117,,"$465,000","$349,000","$347,000",,"Urban Horticulture, WI",Milwaukee,,WI,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,,,,,Kohl,D,WI,,,"University of Wisconsin-Extension, Growing Power; Milwaukee, Wisconsin",,1
96,,"$250,000","$180,000","$179,000",,"Dairy Business Association, WI",,,WI,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Kohl,D,WI,,,Wisconsin Dairy Business Association,,1
173,,"$3,000,000","$2,100,000","$2,085,000",,"Forage-Animal Production Research Facility, for construction of this facility",Lexington,,KY,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,,,,,McConnell,R,KY,,,,,1
874,,"$843,000","$632,000","$628,000",,Health Education Through Extension Leadership,,,KY,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,,,,,McConnell,R,KY,,,University of Kentucky,,1
804,,"$750,000","$563,000","$559,000",,"New Crop Opportunities, KY",,,KY,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,McConnell,R,KY,,,University of Kentucky,,1
515,,"$675,000","$506,000","$502,000",,"Precision agriculture, KY",,,KY,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,McConnell,R,KY,,,University of Kentucky,,1
1712,"$1,235,000",,"$926,000","$920,000",,"Income Enhancement Demonstration, OH",,,OH,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,Kaptur,D,OH,,,,,,,,,1
2637,"$1,134,000",,"$851,000","$845,000",,"Center for Innovative Food Technology, OH",,,OH,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,Kaptur,D,OH,,,,,,,,,1
500,"$413,654",,"$414,000","$411,000",,"Wheat Quality Research, Wooster, OH",Wooster,,OH,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Kaptur,D,OH,,,,,,,,,1
782,"$547,000",,"$410,000","$407,000",,"Agriculture Science, OH",,,OH,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Kaptur,D,OH,,,,,,,,,1
783,"$6,371,000","$6,500,000","$4,875,000","$4,841,000",,"Wood Utilization (OR, MS, NC, MN, ME, Ml, ID, TN, AK, WV)",,,AK; ID; ME; MI; MN; MS; NC; OR; TN; WV,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,"Allen; Blumenauer; Etheridge; Hooley; Michaud; Pickering; Price, David; Rogers, Mike (MI); Sali; Upton; Wu",D; D; D; D; D; R; D; R; R; R; D,ME; OR; NC; OR; ME; MS; NC; MI; ID; MI; OR,,Alexander; Byrd; Cochran; Collins; Craig; Crapo; Klobuchar; Landrieu; Levin; Smith; Snowe; Stabenow; Stevens; Vitter; Wyden,R; D; R; R; R; R; D; D; D; R; R; D; R; R; D,TN; WV; MS; ME; ID; ID; MN; LA; MI; OR; WA; MI; AK; LA; OR,,,,,1
1612,,,"$1,658,000","$1,646,000",,McDowell Grove Dam Flood Plain/Wetlands Restoration Project,,,IL,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Watershed and Flood Prevention Operations,,,,,,Durbin,D,IL,,,,,1
1688,,"$150,000","$108,000","$107,000",,"Wildlife Habitat Improvement, IL",,,IL,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Durbin,D,IL,,,Illinois Department of Natural Resources,,1
246,,"$49,000","$37,000","$37,000",,"Conservation Science Department at Lincoln Park Zoo, IL",Chicago,,IL,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,,,,,Durbin,D,IL,,,Lincoln Park Zoological Society,,1
1305,,,"$1,883,000","$1,870,000",,"US Agricultural Research Station, Salinas, CA",Salinas,,CA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,Farr,D,CA,,,,,,,,,1
194,"$594,000",,"$429,000","$426,000",,Monterey Bay Sanctuary,,,CA,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,Farr,D,CA,,,,,,,,,1
1172,"$510,000",,"$383,000","$380,000",,"Sustainable Agriculture, CA",,,CA,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Farr,D,CA,,,,,,,,,1
1612,"$223,573",,"$224,000","$222,000",,"Greenhouse Lettuce Germplasm, Salinas, CA",Salinas,,CA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Farr,D,CA,,,,,,,,,1
377,"$974,190",,"$974,000","$967,000",,"Sorghum Research, Lubbock, TX",Lubbock,,TX,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Neugebauer,R,TX,,,,,,,,,1
381,"$483,576",,"$484,000","$481,000",,"Sorghum Research, Bushland, TX",Bushland,,TX,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Neugebauer,R,TX,,,,,,,,,1
506,"$263,597",,"$264,000","$262,000",,"Sorghum Cold Tolerance, Lubbock, TX",Lubbock,,TX,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Neugebauer,R,TX,,,,,,,,,1
1449,"$1,560,554",,"$1,561,000","$1,550,000",,"Plant Stress and Water Conservation Lab, Lubbock, TX",Lubbock,,TX,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,Neugebauer,R,TX,,,,,,,,,1
25,,,"$1,883,000","$1,870,000",,"National Center for Agricultural Utilization Research, Peoria, IL",Peoria,,IL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Buildings and Facilities,,LaHood,R,IL,,,,,,,,,1
628,"$843,393",,"$843,000","$837,000",,"Crop Production and Food Processing, Peoria, IL",Peoria,,IL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,LaHood,R,IL,,,,,,,,,1
22,"$99,000",,"$71,000","$71,000",,Illinois Buffer Initiative,,,IL,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,LaHood,R,IL,,,,,,,,,1
1136,,"$1,300,000","$975,000","$968,000",,"Berry Research, AK",,,AK,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Stevens,R,AK,,,University of Alaska,,1
1948,,"$1,099,000","$824,000","$818,000",,"Alternative Salmon Products, AK",,,AK,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Stevens,R,AK,,,University of Alaska,,1
779,,"$184,000","$133,000","$132,000",,"Native Plant Commercialization, AK",,,AK,Ag-Rural Development-FDA,Conservation Programs,Natural Resources Conservation Service; Conservation Operations,,,,,,Stevens,R,AK,,,NRCS Alaska,,1
2388,"$4,158,000","$300,000","$3,119,000","$3,097,000",,"Shrimp Aquaculture, AZ, HI, MS, MA, SC, LA, TX",,,AZ; HI; LA; MA; MS; SC; TX,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,Grijalva; Hirono; Neal; Pastor,D; D; D; D,AZ; HI; MA; AZ,,Cochran,R,MS,,,,Senate amount was for MS only,1
1278,"$2,475,000",,"$1,856,000","$1,843,000",,University of Wisconsin -Stevens Point Geographic Information System,,,WI,Ag-Rural Development-FDA,Agriculture,CSREES; Federal Administration,,Obey,D,WI,7,,,,,,,,1
2523,"$495,000",,"$371,000","$368,000",,"Red Cliff Tribal Hatchery, WI",,,WI,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,Obey,D,WI,7,,,,,,,,1
1505,"$396,000",,"$297,000","$295,000",,"Potato Pest Management, WI",,,WI,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,Obey,D,WI,7,,,,,,,,1
243,"$1,238,482",,"$1,238,000","$1,229,000",,"Mosquito Trapping Research/West Nile Virus, Gainesville, FL",Gainesville,,FL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,DeLauro,D,CT,,,,,,,,,1
1039,"$219,665",,"$220,000","$218,000",,"Vector-borne Diseases, Gainesville, FL",Gainesville,,FL,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,DeLauro,D,CT,,,,,,,,,1
575,,"$1,500,000","$1,125,000","$1,117,000",,Mormon cricket Nevada,,,NV,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,,,,,Reid,D,NV,,,APHIS Nevada,,1
627,,"$490,000","$368,000","$365,000",,Nevada Arid Rangelands initiative,,,NV,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Reid,D,NV,,,University of Nevada Reno,,1
2223,,"$49,000","$37,000","$37,000",,"Weed Management, NV",,,NV,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,,,,,Reid,D,NV,,,Nevada Department of Agriculture,,1
926,"$990,000",,"$715,000","$710,000",,"Suwannee, Dixie, and Lafayette Counties Dairy and Poultry waste treatment",,"Suwannee, Dixie, and Lafayette",FL,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,Boyd,D,FL,,,,,,,,,1
117,"$442,000",,"$332,000","$330,000",,"Oyster Post Harvest Treatment, FL",,,FL,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Boyd,D,FL,,,,,,,,,1
224,"$396,000",,"$286,000","$284,000",,"Green Institute, FL",,,FL,Ag-Rural Development-FDA,Agriculture,Natural Resources Conservation Service; Conservation Operations,,Boyd,D,FL,,,,,,,,,1
2356,,"$450,000","$338,000","$336,000",,"Environmentally Safe Products, VT",,,VT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Leahy,D,VT,,,University of Vermont,,1
361,,"$350,000","$263,000","$261,000",,"Center for Rural Studies, VT",,,VT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Leahy,D,VT,,,University of Vermont,,1
69,,"$130,000","$98,000","$97,000",,"Maple Research, VT",,,VT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Leahy,D,VT,,,University of Vermont,,1
16,"$312,000",,"$234,000","$232,000",,"Olive Fruit Fly, CA",,,CA,Ag-Rural Development-FDA,Agriculture,Animal and Plant Health Inspection Service,,"Thompson, Mike",D,CA,1,,,,,,,,1
24,"$213,386",,"$213,000","$212,000",,"Olive Fruit Fly, Montpelier, France",Montpelier,,INT,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Thompson, Mike",D,CA,1,,,,,,,,1
2404,"$301,252",,"$301,000","$299,000",,"Olive Fruit Fly, Parlier, CA",Parlier,,CA,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Thompson, Mike",D,CA,1,,,,,,,,1
1076,"$464,258",,"$464,000","$461,000",,"Hops Research, Corvallis, OR",Corvallis,,OR,Ag-Rural Development-FDA,Agriculture,Agricultural Research Service; Salaries and Expenses,,"Hastings, Doc; Hooley",R; D; R,WA; OR; OR,,Cantwell; Murray; Smith; Wyden,D; D; R; D,WA; WA; OR; OR,,,,,1
417,"$348,000","$300,000","$261,000","$259,000",,"Floriculture, HI",,,HI,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,Hirono,D,HI,,Akaka; Inouye,D; D,HI; HI,,,,,1
1499,"$232,000",,"$174,000","$173,000",,National Wild Turkey Federation,,,SC,Ag-Rural Development-FDA,Agriculture,CSREES; Extension,,"Berry; Bishop, Sanford; Boyd",D; D; D,AR; GA; FL,,Chambliss; Cochran; Lincoln; Pryor,R; R; D; D,GA; MS; AR; AR,,,,,1
1128,,"$200,000","$150,000","$149,000",,Montana Sheep Institute,,,MT,Ag-Rural Development-FDA,Agriculture,CSREES; Special Research Grants,,,,,,Baucus; Tester,D; D,MT; MT,,,Montana State University,,1
1184,,"$500,000",,"$470,000",,"Marshall Space Flight Center, ongoing technology maturation program for liquid oxygen/liquid methane propulsion technology.",Huntsville,,AL,"Commerce, Justice & Science",Science,NASA,,,,,,Shelby,R,AL,,,,,1
1185,,"$1,200,000",,"$940,000",,"Marshall Space Flight Center, secure and retrievable storage solution for Marshall's Data Center to meet Presidential Directives",Huntsville,,AL,"Commerce, Justice & Science",Science,NASA,,,,,,Shelby,R,AL,,,,,1
1186,,"$2,150,000",,"$1,645,000",,"Marshall Space Flight Center, cost effective nuclear power system to support NASA's long-range objectives for missions to the moon, to Mars, and to deep space",Huntsville,,AL,"Commerce, Justice & Science",Science,NASA,,,,,,Shelby,R,AL,,,,,1
1187,,"$1,500,000",,"$1,175,000",,"Marshall Space Flight Center, technology to NASA for materials development, testing, and safety improvement to the Space Shuttle and Ares launch systems",Huntsville,,AL,"Commerce, Justice & Science",Science,NASA,,,,,,Shelby,R,AL,,,,,1
1548,,"$2,000,000",,"$1,410,000",,"Marshall Space Flight Center, to help accomplish NASA/MSFC missions by providing critical information on composite materials relating to NASA space exploration programs",Huntsville,,AL,"Commerce, Justice & Science",Science,NASA,,,,,,Shelby,R,AL,,,,,1
2393,,"$500,000",,"$470,000",,"Maritime Museum, a collaborative effort with NOAA for the development of educational activities and exhibits",Mobile,,AL,"Commerce, Justice & Science",Department of Commerce,NOAA; NOS,,,,,,Shelby,R,AL,,,,,1
859,,"$500,000",,"$329,000",,"American Village Citizenship Trust, Montevallo, Al, for character programs in at-risk areas",Montevallo,,AL,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Shelby,R,AL,,,,,1
2401,,"$350,000",,"$235,000",,"Foley, AL, Police Department, for communications upgrades",Foley,,AL,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,,,,,Shelby,R,AL,,,,,1
1664,,"$250,000",,"$235,000",,"West Alabama Marine Shrimp and Fish Aquaculture, to develop new methods and find efficiency in the development of marine shrimp and fish aquaculture using ponds and the salinic water of West Alabama",,,AL,"Commerce, Justice & Science",Department of Commerce,NOAA; OAR,,,,,,Shelby,R,AL,,,,,1
876,,"$3,000,000",,"$2,820,000",,"Stennis Space Center, infrastructure improvements for Crew Exploration Vehicle Testing",,,MS,"Commerce, Justice & Science",Science,NASA,,,,,,Cochran,R,MS,,,,,1
877,,"$4,000,000",,"$3,760,000",,"Stennis Space Center, technology/industry partnership in assisting in transitioning space technologies into the commercial sector",,,MS,"Commerce, Justice & Science",Science,NASA,,,,,,Cochran; Lott,R; R,MS; MS,,,,,1
1928,,"$1,000,000",,"$4,700,000",,"NGI Science Center Building, Stennis Space Center, MS",,,MS,"Commerce, Justice & Science",Department of Commerce,NOAA; Procurement,,,,,,Cochran,R,MS,,,,,1
1086,,"$11,000,000",,"$7,520,000",,"Center for Marine Aquaculture, to construct a center to provide scientists, engineers, and economists the capability to apply recent advances in aquaculture, biotechnology, pathology, nutrition, genetics, engineering, microbiology, and economics to remove the technical and profitability constraints to growth of a marine aquaculture industry, Univ. of Southern Mississippi",Stennis,,MS,"Commerce, Justice & Science",Department of Commerce,NOAA; Procurement,,,,,,Cochran,R,MS,,,,,1
1765,,"$1,500,000",,"$1,175,000",,"Jackson State University, Jackson, MS, for computer software and mapping",Jackson,,MS,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,,,,,Cochran,R,MS,,,,,1
1865,,"$5,200,000",,"$3,478,000",,"Harbor seal and stellar sea lion protection program, for management measures to protect harbor seals and steller sea lions and multi-year interdisciplinary research in partnership with NMFS, Alaska Sea Life Center",Seward,,AK,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,,,,,Stevens,R,AK,,,,,1
1282,,,,"$2,820,000",,Native American/Native Alaskan Liason Office,,,AK,"Commerce, Justice & Science",Department of Justice,Office on Violence Against Women,,,,,,Stevens,R,AK,,,,,1
1119,,"$1,200,000",,"$1,128,000",,"Big Brothers/Big Sisters of Alaska, Eagle River, AK, for at-risk youth mentoring program",Eagle River,,AK,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Stevens,R,AK,,,,,1
801,,"$200,000",,"$188,000",,"Monitoring and restoration of salmon stocks, funds will be used to allow the monitoring and restoration of depressed salmon stocks under the management of one organization that serves and represents all affected fishermen, Bering Sea Fishermen's Association",,,AK,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,,,,,Stevens,R,AK,,,,,1
2761,,,,"$2,350,000",,"Teach for America, New York, NY to engage teachers in science, technology, engineering and mathematics",,,NY,"Commerce, Justice & Science",Science,NASA,,,,,,Mikulski,D,MD,,,,,1
92,,"$1,000,000",,"$893,000",,"NAIB Conservation and Education Programs, for conservation and education programs of the marine environment, National Aquarium of Baltimore",Baltimore,,MD,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,,,,,Mikulski,D,MD,,,,,1
117,,"$200,000",,"$178,600",,"Johns Hopkins University, for the Johns Hopkins Prisoner Career Re-Entry Program to provide job training and placement",Baltimore,,MD,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,,,,,Mikulski,D,MD,,,,,1
1836,"$900,000",,,"$846,000",,Distance Learning program at Fairmont State University,Fairmont,,WV,"Commerce, Justice & Science",Science,NASA,,Mollohan,D,WV,,,,,,,,,1
1710,"$450,000",,,"$540,500",,Independent Verification and Validation Research Program,Fairmont,,WV,"Commerce, Justice & Science",Science,NASA,,Mollohan,D,WV,,,,,,,,Galaxy Global Corporation,1
309,"$300,000",,,"$282,000",,Micronauts Education Simulator at Wheeling Jesuit University,Wheeling,,WV,"Commerce, Justice & Science",Science,NASA,,Mollohan,D,WV,,,,,,,,,1
1012,"$200,000",,,"$188,000",,"Glenville State College, WV Anti-recidivism prisoner education program",Glenville State College,,WV,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Mollohan,D,WV,,,,,,,,,1
,"$800,000",,,"$846,000",,"Father's Day Rally Committee, Inc., Men United Program",Philadelphia,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Fattah,D,PA,,,,,,,,,1
500,"$50,000",,,"$47,000",,"Grand As Parents, Very Important People (VIP) Program",Philadelphia,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Fattah,D,PA,,,,,,,,,1
2094,"$50,000",,,"$47,000",,"Mural Arts Program for at risk youth, Philadelphia, PA",Philadelphia,,PA,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Fattah,D,PA,,,,,,,,,1
677,"$700,000",,,"$1,598,000",,"Monroe County, NY Drug Analysis Module",,Monroe,NY,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Walsh,R,NY,25,,,,,,,,1
2733,"$200,000",,,"$1,128,000",,"Onondaga County, NY Records Management Project",,Onondaga,NY,"Commerce, Justice & Science",Department of Justice,COPS; Technology,,Walsh,R,NY,25,,,,,,,,1
220,"$1,000,000",,,"$940,000",,Bronx River Restoration,New York,,NY,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,Serrano,D,NY,,,,,,,,,1
317,"$300,000",,,"$282,000",,"Latino Pastoral Action Center Programs for At-Risk Youth, Bronx, NY",Bronx,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Serrano,D,NY,,,,,,,,,1
1118,"$100,000",,,"$94,000",,El Museo del Barrio's Educational Programs in the Bronx for At-Risk Youth,Bronx,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Serrano,D,NY,,,,,,,,,1
473,,"$450,000",,"$401,850",,"Shedd Aquarium, Chicago, IL, for a juvenile delinquency prevention program",Chicago,,IL,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Obama,D,IL,,,,,1
635,"$50,000",,,"$47,000",,Shedd Aquarium At-Risk Youth Mentoring Initiative,Chicago,,IL,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,"Davis, Danny",D,IL,,,,,,,,,1
992,"$700,000",,,"$940,000",,Shedd Aquarium Invasive Species Program,,,IL,"Commerce, Justice & Science",Department of Commerce,NOAA; OAR,,Kirk,R,IL,10,,,,,,,,1
1002,,"$300,000",,"$260,000",,"Center for the Great Lakes, conservation education, Shedd Aquarium",Chicago,,IL,"Commerce, Justice & Science",Department of Commerce,NOAA; Program Support,,,,,,Durbin,D,IL,,,,,1
106,,"$500,000",,"$446,500",,"Abyssinian Development Corporation, New York, NY, to support and expand youth and young adult after-school and summer programs",New York,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Rangel,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,1
1663,"$600,000",,,"$893,000",,"Abyssinian Development Corporation programs for at-risk youth, New York, NY",New York,,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Rangel,D,NY,,Clinton; Schumer,D; D,NY; NY,,,,,1
389,"$50,000",,,"$282,000",,Brooklyn Bridge Park Conservancy at risk youth programs,"Brooklyn, NY",,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Velazquez,D,NY,12,,,,,,,,1
1008,"$250,000",,,"$235,000",,"Project for Public Spaces, preservation and revitalization of the Moore Street Market",Brooklyn,,NY,"Commerce, Justice & Science",Department of Commerce,Minority Business Development Agency,,Velazquez,D,NY,12,,,,,,,,1
1998,"$150,000",,,"$188,000",,"Brooklyn Arts Council at risk youth programs, Brooklyn, NY","Brooklyn, NY",,NY,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,Velazquez,D,NY,12,,,,,,,,1
978,"$500,000",,,"$705,000",,"Concurrent Technologies Corporation, PA Corrections Learning Environment",,,PA,"Commerce, Justice & Science",Department of Justice,Byrne Grants,,Murtha,D,PA,,,,,,,,,1
114,,"$500,000",,"$446,500",,Arkansas World Trade Center; Funding to support efforts to develop international trade initiatives in Northwest Arkansas,University of Arkansas,,AR,"Commerce, Justice & Science",Department of Commerce,International Trade Administration,,Boozman,R,AR,,Lincoln; Pryor,D; D,AR; AR,,,,,1
1296,,"$300,000",,"$263,200",,"American Sailing Association, Newport, RI, programs for at risk youth",Newport,,RI,"Commerce, Justice & Science",Department of Justice,Juvenile Justice,,,,,,Reed; Whitehouse,D; D,RI; RI,,,,,1
424,"$200,000",,,"$188,000",,Lobster Institute CORE Initiative,,,ME,"Commerce, Justice & Science",Department of Commerce,NOAA; NMFS,,Allen,D,ME,,Collins; Snowe,R; R,ME; ME,,,,,1
1659,,"$27,500,000",,"$25,000,000",,Hawaii Federal Health Care Network,,,HI,Defense,Defense Health Program,,RDTE,,,,,Inouye,D,HI,,,,,1
427,,"$24,000,000",,"$23,000,000",,Maui Space Surveillance System (MSSS) Operations & Research,,,HI,Defense,RDTE,Air Force,Maui Space Surveillance System (MSSS),,,,,Inouye,D,HI,,,,,1
1921,,"$10,000,000",,"$10,000,000",,CEROS,,,UNK,Defense,RDTE,Defense Wide,Tactical Technology,,,,,Inouye,D,HI,,,,,1
1886,,"$5,000,000",,"$5,000,000",,MHPCC,,,UNK,Defense,RDTE,Defense Wide,High Performance Computing Modernization Program,,,,,Inouye,D,HI,,,,,1
653,,"$4,000,000",,"$3,500,000",,Army Conservation and Ecosystem Management,,,UNK,Defense,Operation and Maintenance,Army,Base Operations Support,,,,,Inouye,D,HI,,,,,1
